year	local_chg	ID
1968	0	EPI_ISL_3314
1968	0	EPI_ISL_3313
1968	0	EPI_ISL_3312
1968	0	EPI_ISL_3311
1968	0	EPI_ISL_3310
1968	0	EPI_ISL_3309
1968	0	EPI_ISL_3308
1968	0	EPI_ISL_3307
1968	0	EPI_ISL_3306
1968	0	EPI_ISL_3305
1968	0	EPI_ISL_3304
1968	0	EPI_ISL_3303
1968	0	EPI_ISL_3302
1968	0	EPI_ISL_3301
1968	0	EPI_ISL_151
1968	0	EPI_ISL_151
1968	0	EPI_ISL_151
1968	0	EPI_ISL_151
1968	0	EPI_ISL_236
1968	0	EPI_ISL_236
1968	0	EPI_ISL_151
1968	0	EPI_ISL_9214
1968	0	EPI_ISL_8973
1968	0	EPI_ISL_7092
1968	0	EPI_ISL_7066
1968	0	EPI_ISL_6981
1968	0	EPI_ISL_6911
1968	0	EPI_ISL_6849
1968	0	EPI_ISL_6847
1968	0	EPI_ISL_22826
1968	0	EPI_ISL_22825
1968	0	EPI_ISL_22824
1968	0	EPI_ISL_22823
1968	0	EPI_ISL_22822
1968	0	EPI_ISL_22821
1968	0	EPI_ISL_22820
1968	0	EPI_ISL_22621
1968	0	EPI_ISL_22620
1968	0	EPI_ISL_22619
1968	0	EPI_ISL_22618
1968	0	EPI_ISL_22617
1968	0	EPI_ISL_22616
1968	0	EPI_ISL_22615
1968	0	EPI_ISL_22614
1968	0	EPI_ISL_22613
1968	0	EPI_ISL_20832
1968	0	EPI_ISL_20831
1968	0	EPI_ISL_20830
1968	0	EPI_ISL_20829
1968	0	EPI_ISL_20828
1968	0	EPI_ISL_20827
1968	0	EPI_ISL_20826
1968	0	EPI_ISL_20825
1968	0	EPI_ISL_20824
1968	0	EPI_ISL_20823
1968	0	EPI_ISL_20822
1968	0	EPI_ISL_20821
1968	0	EPI_ISL_20819
1968	0	EPI_ISL_20818
1968	0	EPI_ISL_14436
1968	0	EPI_ISL_25014
1968	0	EPI_ISL_25013
1968	0	EPI_ISL_25012
1968	0	EPI_ISL_25011
1968	0	EPI_ISL_25010
1968	0	EPI_ISL_25009
1968	0	EPI_ISL_70009
1968	0	EPI_ISL_69818
1968	0	EPI_ISL_69771
1968	0	EPI_ISL_69770
1968	0	EPI_ISL_69769
1968	0	EPI_ISL_69275
1968	0	EPI_ISL_69273
1968	0	EPI_ISL_69272
1968	0	EPI_ISL_69271
1968	0	EPI_ISL_69270
1968	0	EPI_ISL_79847
1968	0	EPI_ISL_79846
1968	0	EPI_ISL_79845
1968	0	EPI_ISL_79844
1968	0	EPI_ISL_79843
1968	0	EPI_ISL_79842
1968	0	EPI_ISL_79841
1968	0	EPI_ISL_79840
1968	0	EPI_ISL_79839
1968	0	EPI_ISL_79838
1968	0	EPI_ISL_87273
1968	0	EPI_ISL_22823
1968	0	EPI_ISL_110746
1968	0	EPI_ISL_110734
1968	0	EPI_ISL_123225
1968	0	EPI_ISL_124885
1968	0	EPI_ISL_141507
1968	0	EPI_ISL_147172
1968	0	EPI_ISL_147171
1968	0	EPI_ISL_143165
1968	0	EPI_ISL_246097
1968	0	EPI_ISL_245769
1968	0	EPI_ISL_243350
1969	0	EPI_ISL_3319
1969	0	EPI_ISL_3318
1969	0	EPI_ISL_3317
1969	1	EPI_ISL_3316
1969	0	EPI_ISL_3315
1969	1	EPI_ISL_8984
1969	0	EPI_ISL_7065
1969	0	EPI_ISL_6850
1969	0	EPI_ISL_6848
1969	0	EPI_ISL_113035
1969	0	EPI_ISL_113017
1969	0	EPI_ISL_110747
1970	1	EPI_ISL_3323
1970	1	EPI_ISL_3322
1970	1	EPI_ISL_3321
1970	1	EPI_ISL_3320
1970	1	EPI_ISL_7269
1970	1	EPI_ISL_7268
1970	1	EPI_ISL_6982
1970	1	EPI_ISL_6978
1970	1	EPI_ISL_84903
1970	1	EPI_ISL_110776
1971	1	EPI_ISL_3327
1971	1	EPI_ISL_3326
1971	1	EPI_ISL_3325
1971	1	EPI_ISL_3324
1971	1	EPI_ISL_21048
1971	1	EPI_ISL_9029
1971	1	EPI_ISL_8974
1971	1	EPI_ISL_152
1971	1	EPI_ISL_7037
1971	1	EPI_ISL_70010
1971	1	EPI_ISL_84906
1971	1	EPI_ISL_84899
1971	1	EPI_ISL_113037
1971	1	EPI_ISL_113036
1971	1	EPI_ISL_110779
1971	1	EPI_ISL_110778
1972	-1	EPI_ISL_3331
1972	-1	EPI_ISL_3330
1972	-1	EPI_ISL_3329
1972	1	EPI_ISL_3328
1972	1	EPI_ISL_1415
1972	-1	EPI_ISL_21051
1972	-1	EPI_ISL_9279
1972	-1	EPI_ISL_9278
1972	-1	EPI_ISL_9251
1972	-1	EPI_ISL_9190
1972	1	EPI_ISL_8676
1972	-1	EPI_ISL_8587
1972	-1	EPI_ISL_237
1972	-1	EPI_ISL_8104
1972	-1	EPI_ISL_70005
1972	-1	EPI_ISL_8104
1972	-1	EPI_ISL_66106
1972	1	EPI_ISL_66096
1972	-1	EPI_ISL_84901
1972	1	EPI_ISL_113863
1972	-1	EPI_ISL_113847
1972	-1	EPI_ISL_110819
1972	-1	EPI_ISL_110818
1972	1	EPI_ISL_123229
1972	-1	EPI_ISL_200063
1973	-1	EPI_ISL_5100
1973	-1	EPI_ISL_238
1973	-1	EPI_ISL_9045
1973	0	EPI_ISL_8673
1973	-1	EPI_ISL_113916
1973	-1	EPI_ISL_113915
1973	-1	EPI_ISL_113864
1973	-1	EPI_ISL_110820
1973	-1	EPI_ISL_123257
1973	-1	EPI_ISL_147170
1974	-1	EPI_ISL_9057
1974	0	EPI_ISL_9047
1974	0	EPI_ISL_9046
1974	0	EPI_ISL_9033
1974	-1	EPI_ISL_8669
1974	-1	EPI_ISL_6979
1974	-1	EPI_ISL_84907
1974	0	EPI_ISL_113920
1974	-1	EPI_ISL_113919
1974	-1	EPI_ISL_113918
1974	-1	EPI_ISL_113917
1974	-1	EPI_ISL_110821
1975	-1	EPI_ISL_8953
1975	-1	EPI_ISL_8698
1975	0	EPI_ISL_6977
1975	0	EPI_ISL_113968
1975	-1	EPI_ISL_113967
1975	-1	EPI_ISL_113966
1975	-1	EPI_ISL_113965
1975	-1	EPI_ISL_113921
1975	-1	EPI_ISL_110822
1975	0	EPI_ISL_123233
1976	-1	EPI_ISL_239
1976	-1	EPI_ISL_9281
1976	-1	EPI_ISL_9280
1976	-1	EPI_ISL_9054
1976	-1	EPI_ISL_9048
1976	-1	EPI_ISL_9034
1976	-1	EPI_ISL_7120
1976	0	EPI_ISL_7077
1976	-1	EPI_ISL_7064
1976	-1	EPI_ISL_114016
1976	-1	EPI_ISL_114015
1976	-1	EPI_ISL_114014
1976	-1	EPI_ISL_113970
1976	-1	EPI_ISL_113969
1976	-1	EPI_ISL_110823
1976	-1	EPI_ISL_124887
1976	-1	EPI_ISL_124886
1977	-1	EPI_ISL_241
1977	0	EPI_ISL_240
1977	0	EPI_ISL_9209
1977	0	EPI_ISL_9208
1977	0	EPI_ISL_9049
1977	0	EPI_ISL_9036
1977	0	EPI_ISL_9035
1977	0	EPI_ISL_6980
1977	0	EPI_ISL_114197
1977	0	EPI_ISL_114196
1977	0	EPI_ISL_114019
1977	0	EPI_ISL_114018
1977	0	EPI_ISL_114017
1977	0	EPI_ISL_122019
1978	0	EPI_ISL_9145
1978	0	EPI_ISL_9032
1978	0	EPI_ISL_9031
1978	0	EPI_ISL_9030
1978	0	EPI_ISL_6888
1978	0	EPI_ISL_6876
1979	0	EPI_ISL_10250
1979	0	EPI_ISL_1412
1979	0	EPI_ISL_115698
1979	0	EPI_ISL_122020
1980	0	EPI_ISL_9276
1980	0	EPI_ISL_9252
1980	0	EPI_ISL_9146
1980	0	EPI_ISL_9055
1980	0	EPI_ISL_8972
1980	0	EPI_ISL_8952
1980	0	EPI_ISL_8668
1980	0	EPI_ISL_114198
1980	0	EPI_ISL_110861
1981	0	EPI_ISL_9147
1981	0	EPI_ISL_114199
1981	0	EPI_ISL_110862
1982	0	EPI_ISL_242
1982	0	EPI_ISL_9038
1982	0	EPI_ISL_8954
1982	0	EPI_ISL_76487
1982	0	EPI_ISL_76486
1982	0	EPI_ISL_115699
1982	0	EPI_ISL_114202
1982	0	EPI_ISL_114201
1982	0	EPI_ISL_114200
1982	0	EPI_ISL_125872
1982	0	EPI_ISL_124884
1982	0	EPI_ISL_173279
1983	0	EPI_ISL_5105
1983	0	EPI_ISL_9050
1983	0	EPI_ISL_8986
1983	0	EPI_ISL_8699
1983	0	EPI_ISL_8697
1983	0	EPI_ISL_114245
1984	0	EPI_ISL_9216
1984	0	EPI_ISL_8987
1984	0	EPI_ISL_8700
1984	0	EPI_ISL_124890
1985	0	EPI_ISL_5395
1985	0	EPI_ISL_9282
1985	0	EPI_ISL_9250
1985	0	EPI_ISL_8674
1985	0	EPI_ISL_8672
1985	0	EPI_ISL_8670
1985	0	EPI_ISL_69000
1985	0	EPI_ISL_114250
1985	0	EPI_ISL_114249
1985	0	EPI_ISL_114248
1985	0	EPI_ISL_114247
1985	0	EPI_ISL_114246
1986	0	EPI_ISL_6221
1986	0	EPI_ISL_5372
1986	0	EPI_ISL_9283
1986	0	EPI_ISL_8588
1986	0	EPI_ISL_8198
1986	0	EPI_ISL_6889
1986	0	EPI_ISL_937
1986	0	EPI_ISL_114293
1986	0	EPI_ISL_124930
1986	0	EPI_ISL_124928
1987	0	EPI_ISL_8675
1987	0	EPI_ISL_69001
1987	0	EPI_ISL_114294
1987	0	EPI_ISL_110865
1987	0	EPI_ISL_127587
1987	0	EPI_ISL_125877
1988	0	EPI_ISL_5310
1988	0	EPI_ISL_9285
1988	0	EPI_ISL_9284
1988	0	EPI_ISL_8671
1988	0	EPI_ISL_1451
1988	0	EPI_ISL_25040
1988	0	EPI_ISL_95203
1988	0	EPI_ISL_115768
1988	0	EPI_ISL_115700
1988	0	EPI_ISL_114298
1988	0	EPI_ISL_114297
1988	0	EPI_ISL_114296
1988	0	EPI_ISL_114295
1988	0	EPI_ISL_124889
1989	0	EPI_ISL_721
1989	0	EPI_ISL_721
1989	0	EPI_ISL_115769
1989	0	EPI_ISL_115411
1989	0	EPI_ISL_114401
1989	0	EPI_ISL_114400
1989	0	EPI_ISL_114399
1989	0	EPI_ISL_114398
1989	0	EPI_ISL_114397
1989	0	EPI_ISL_114396
1989	0	EPI_ISL_114349
1989	0	EPI_ISL_114348
1989	0	EPI_ISL_114347
1989	-1	EPI_ISL_114346
1989	0	EPI_ISL_114345
1989	0	EPI_ISL_110909
1989	0	EPI_ISL_110908
1989	0	EPI_ISL_110907
1989	0	EPI_ISL_110905
1989	0	EPI_ISL_124894
1989	0	EPI_ISL_124891
1989	0	EPI_ISL_123212
1990	0	EPI_ISL_9286
1990	0	EPI_ISL_8616
1990	0	EPI_ISL_697
1990	0	EPI_ISL_25042
1990	0	EPI_ISL_25041
1990	0	EPI_ISL_114457
1990	0	EPI_ISL_114456
1990	0	EPI_ISL_114455
1990	0	EPI_ISL_114454
1990	0	EPI_ISL_114453
1990	0	EPI_ISL_114452
1991	0	EPI_ISL_713
1991	0	EPI_ISL_33841
